fips,state,county,rate_mort_period1,rate_vaccination
1001,Alabama,Autauga,0.06972196241816173,0.33944392483632346
1003,Alabama,Baldwin,0.06083696125850531,0.4293061566141858
1005,Alabama,Barbour,0.1189390635531063,0.3772350632359355
1007,Alabama,Bibb,0.17942852016327995,0.3112636253532499
1009,Alabama,Blount,0.0794805019109142,0.274207731592654
1013,Alabama,Butler,0.23095900477665215,0.36034853813448114
1015,Alabama,Calhoun,0.11078571980659734,0.40422188060906383
1017,Alabama,Chambers,0.16392499712412287,0.26814678476935466
1019,Alabama,Cherokee,0.09611148932762004,0.30106924031876975
1021,Alabama,Chilton,0.10219042964411072,0.31088105922601855
1025,Alabama,Clarke,0.10395460648850002,0.47169402694156887
1029,Alabama,Cleburne,0.09962805526036132,0.2791578108395324
1031,Alabama,Coffee,0.046759562330496586,0.3412699897128963
1033,Alabama,Colbert,0.09261362643507434,0.41994163594107675
1039,Alabama,Covington,0.10114453021027416,0.3394463667820069
1043,Alabama,Cullman,0.06714770218286936,0.3332574602235222
1045,Alabama,Dale,0.11961237481247211,0.47402992336698696
1047,Alabama,Dallas,0.08839893921272944,0.3753834953980552
1049,Alabama,DeKalb,0.06842810859121887,0.30027371243436485
1051,Alabama,Elmore,0.08183957170624141,0.35754799549882355
1053,Alabama,Escambia,0.08705824740865686,0.3238838860625187
1055,Alabama,Etowah,0.07734251131134229,0.3646409373912371
1057,Alabama,Fayette,0.09803320874946389,0.31101035475767413
1059,Alabama,Franklin,0.10587612493382743,0.3832715722604553
1061,Alabama,Geneva,0.06001725496080122,0.33962264150943394
1067,Alabama,Henry,0.046658112679342126,0.40225125393677824
1069,Alabama,Houston,0.04850655771347549,0.37720378351150163
1071,Alabama,Jackson,0.049449399950550595,0.4256262005743738
1073,Alabama,Jefferson,0.08270084968453628,0.5005683830798211
1077,Alabama,Lauderdale,0.06519601556154077,0.4123060151340259
1079,Alabama,Lawrence,0.11187373386145798,0.4221268103891392
1081,Alabama,Lee,0.041895994628130005,0.3272880665285438
1083,Alabama,Limestone,0.04731099739306749,0.31453123491358503
1087,Alabama,Macon,0.12287528158918698,0.3872619291419209
1089,Alabama,Madison,0.041736119519880044,0.5154410760705186
1091,Alabama,Marengo,0.12937949593748382,0.4813952284841898
1093,Alabama,Marion,0.13632800518046417,0.33315156265975937
1095,Alabama,Marshall,0.06659017333934353,0.40036061140023765
1097,Alabama,Mobile,0.0937781002822986,0.4335706313025995
1099,Alabama,Monroe,0.050576572931418165,0.41240137568278373
1101,Alabama,Montgomery,0.11355992906872123,0.4553098002218786
1103,Alabama,Morgan,0.05185503277400118,0.3777396067119858
1107,Alabama,Pickens,0.1255033206086911,0.4530669873973749
1109,Alabama,Pike,0.04847162894968039,0.37320124814444544
1111,Alabama,Randolph,0.12746392315746347,0.31356125096736015
1113,Alabama,Russell,0.010138046398459017,0.33524829765304226
1115,Alabama,St. Clair,0.06805483902835252,0.345949090589772
1117,Alabama,Shelby,0.039009254609369395,0.31491229643446444
1121,Alabama,Talladega,0.07668991710185151,0.3204421234585935
1123,Alabama,Tallapoosa,0.2251216383045678,0.3419428239451962
