State,rate_mort_period1,rate_mort_period2,rate_mort_period3,rate_vaccination
Alabama,0.12463306938997015,0.3201238313722588,0.19549076198228868,0.45132095019610746
Alaska,0.03507033022981222,0.09464926961636579,0.05957893938655358,0.5214931023836992
Arizona,0.10592110187888314,0.30451956906032807,0.19859846718144497,0.5565671658979542
Arkansas,0.09997759699331588,0.280071020874921,0.18009342388160512,0.48472616503994087
California,0.05386627431747589,0.18268503760013077,0.12881876328265487,0.6187678804969756
Colorado,0.0717573592423985,0.1479984234714724,0.07624106422907392,0.6417678814855527
Connecticut,0.15200335055144493,0.24470194052771185,0.09269858997626693,0.7035515845316208
Delaware,0.08594042096061591,0.22022232871157826,0.13428190775096235,0.612519286568123
Florida,0.10394162568392232,0.28884702958039815,0.1849054038964759,0.6229911982173113
Georgia,0.09812090313182811,0.28225297402282107,0.18413207089099298,0.49685826656955573
Hawaii,0.0191275852126889,0.0638523800482409,0.044724794835551994,0.5954818112135468
Idaho,0.07074255988529514,0.20962075115089968,0.13887819126560452,0.46503101652437184
Illinois,0.12053971844167999,0.22321881215146433,0.10267909370978434,0.5971848067698787
Indiana,0.12302954607430888,0.25134728351184116,0.1283177374375323,0.5058329805361412
Iowa,0.1044852354349561,0.22234636871508381,0.11786113328012769,0.5594815642458101
Kansas,0.07250462393168271,0.22053919512647915,0.14803457119479643,0.5331919223867051
Kentucky,0.08745101572001261,0.219945047520382,0.13249403180036937,0.5102907526687988
Louisiana,0.14677439414017437,0.31192507108212075,0.16515067694194638,0.47563094763295466
Maine,0.019882804000570225,0.08755936705156774,0.067676563050997507,0.7116565752057683
Maryland,0.09144757005983235,0.18147928520981302,0.09003171514998068,0.6664202523886306
Massachusetts,0.168985050196261,0.27811817826444063,0.10913312806817965,0.7032103060090569
Michigan,0.12059263930970555,0.23763016583496444,0.11703752652525888,0.5369336047538085
Minnesota,0.08179311642447751,0.15908136976784576,0.07728825334336827,0.6111963034794188
Mississippi,0.16521902059717072,0.3370963208822388,0.17187730028506804,0.4548772735181145
Missouri,0.09830773424235559,0.19794550464199037,0.09963777039963481,0.5021173847219896
Montana,0.07852322578787209,0.22520230769969185,0.14667908191181978,0.5179729872423756
Nebraska,0.07444507444507445,0.15618765618765618,0.08174258174258174,0.5711065961065961
Nevada,0.08717518860016765,0.2610807944300939,0.17390560582992626,0.5583618728296013
New Hampshire,0.044953186168708414,0.11647638469210045,0.07152319852339202,0.6359164049359194
New Jersey,0.20012745106869748,0.31493474325139836,0.11480729218270089,0.6639840393431992
New Mexico,0.12043413638688032,0.2412983946894281,0.12086425830254775,0.6227023126221666
New York,0.055564900476590975,0.1109157173076433,0.05535081683105233,0.6615517496240794
North Carolina,0.06504785537043602,0.17773445192800033,0.1126865965575643,0.5439892276182599
North Dakota,0.15554353158264878,0.23424589969968132,0.07870236811703256,0.46500868783742644
Ohio,0.06486054681795926,0.21067866928937717,0.1458181224714179,0.5208764892328572
Oklahoma,0.09417733924770426,0.27548785903515444,0.18131051978745016,0.505761662421455
Oregon,0.028442358290420734,0.10710593492310029,0.07866357663267956,0.6497503637976061
Pennsylvania,0.09866157983613735,0.2459034336106073,0.14724185377446997,0.606355854024642
Rhode Island,0.1567276478549323,0.2723805377575454,0.11565288990261306,0.7111034345690463
South Carolina,0.09877076304702255,0.27750649728002064,0.1787357342329981,0.5195148428546063
South Dakota,0.14566886770513104,0.25859405823746456,0.11292519053233352,0.53874456345042
Tennessee,0.09336815469344123,0.2458394037669014,0.15247124907346013,0.4893605409038218
Texas,0.09748181831222297,0.2509610832986674,0.15347926498644443,0.555186442987678
Utah,0.034872838918350926,0.10534092961400167,0.07046809069565074,0.564071781568621
Vermont,0.016480606486318695,0.05504202554654011,0.03856141906022142,0.7113429774215692
Virginia,0.05312719506237988,0.16577586504028513,0.11264866997790528,0.6401610692947395
Washington,0.04000361924451013,0.11828349103551522,0.07827987179100508,0.6627408374164078
West Virginia,0.05347038079877532,0.24198354336950875,0.18851316257073344,0.40209398321533035
Wisconsin,0.07531509641959093,0.1629519641284164,0.08763686770882546,0.5876647301410947
Wyoming,0.055170185413071726,0.2017750706384617,0.14660488522538997,0.43659725420908985
